2016-07-09T08:05:17.786030Z,PH,4.498
2016-07-09T08:05:17.786015Z,ORP,301.8
2016-07-09T08:05:17.785997Z,DO,9.56
2016-07-09T08:05:17.785961Z,Temp,32.08
2016-07-09T08:05:00.392214Z,EC,2100
2016-07-09T08:05:00.392199Z,PH,4.509
2016-07-09T08:05:00.392187Z,ORP,301.8
2016-07-09T08:05:00.392170Z,DO,9.56
2016-07-09T08:05:00.392127Z,Temp,32.08
2016-07-09T08:04:43.096769Z,GRV,1.001
2016-07-09T08:04:43.096758Z,Sal,1.07
2016-07-09T08:04:43.096746Z,TDS,1134
2016-07-09T08:04:43.096732Z,EC,2100
2016-07-09T08:04:43.096720Z,PH,4.509
2016-07-09T08:04:43.096706Z,ORP,302.1
2016-07-09T08:04:43.096689Z,DO,9.58
2016-07-09T08:04:43.096649Z,Temp,32.33
2016-07-09T08:04:16.484833Z,EC,2101
2016-07-09T08:04:16.484820Z,PH,4.496
2016-07-09T08:04:16.484807Z,ORP,302.1
2016-07-09T08:04:16.484790Z,DO,9.58
2016-07-09T08:04:16.484748Z,Temp,32.33
2016-07-09T08:04:08.637295Z,GRV,1.001
2016-07-09T08:04:08.637283Z,Sal,1.07
2016-07-09T08:04:08.637268Z,TDS,1134
2016-07-09T08:04:08.637257Z,EC,2101
2016-07-09T08:04:08.637244Z,PH,4.496
2016-07-09T08:04:08.637218Z,ORP,302.3
2016-07-09T08:04:08.637201Z,DO,9.56
2016-07-09T08:04:08.637166Z,Temp,32.33
2016-07-09T08:03:41.940137Z,EC,2103
2016-07-09T08:03:41.940125Z,PH,4.494
2016-07-09T08:03:41.940112Z,ORP,302.3
2016-07-09T08:03:41.940095Z,DO,9.56
2016-07-09T08:03:41.940061Z,Temp,32.33
2016-07-09T08:03:24.722094Z,GRV,1.001
2016-07-09T08:03:24.722082Z,Sal,1.07
2016-07-09T08:03:24.722069Z,TDS,1135
2016-07-09T08:03:24.722057Z,EC,2103
2016-07-09T08:03:24.722043Z,PH,4.494
2016-07-09T08:03:24.722028Z,ORP,302.9
2016-07-09T08:03:24.722009Z,DO,9.52
2016-07-09T08:03:24.721952Z,Temp,32.08
2016-07-09T08:03:07.408567Z,EC,2103
2016-07-09T08:03:07.408555Z,PH,4.496
2016-07-09T08:03:07.408538Z,ORP,302.9
2016-07-09T08:03:07.408521Z,DO,9.52
2016-07-09T08:03:07.408478Z,Temp,32.33
2016-07-09T08:02:59.314992Z,GRV,1.001
2016-07-09T08:02:59.314979Z,Sal,1.07
2016-07-09T08:02:59.314964Z,TDS,1135
2016-07-09T08:02:59.314940Z,EC,2103
2016-07-09T08:02:59.314929Z,PH,4.496
2016-07-09T08:02:59.314916Z,ORP,303.0
2016-07-09T08:02:59.314899Z,DO,9.56
2016-07-09T08:02:59.314846Z,Temp,32.08
2016-07-09T08:02:32.649771Z,EC,2105
2016-07-09T08:02:32.649758Z,PH,4.493
2016-07-09T08:02:32.649741Z,ORP,303.0
2016-07-09T08:02:32.649724Z,DO,9.56
2016-07-09T08:02:32.649687Z,Temp,32.08
2016-07-09T08:02:24.724404Z,GRV,1.001
2016-07-09T08:02:24.724393Z,Sal,1.07
2016-07-09T08:02:24.724381Z,TDS,1136
2016-07-09T08:02:24.724369Z,EC,2105
2016-07-09T08:02:24.724357Z,PH,4.493
2016-07-09T08:02:24.724344Z,ORP,303.0
2016-07-09T08:02:24.724326Z,DO,9.52
2016-07-09T08:02:24.724284Z,Temp,32.33
2016-07-09T08:01:58.091371Z,EC,2106
2016-07-09T08:01:58.091359Z,PH,4.485
2016-07-09T08:01:58.091345Z,ORP,303.0
2016-07-09T08:01:58.091327Z,DO,9.52
2016-07-09T08:01:58.091282Z,Temp,32.33
2016-07-09T08:01:50.186267Z,GRV,1.001
2016-07-09T08:01:50.186255Z,Sal,1.07
2016-07-09T08:01:50.186243Z,TDS,1137
2016-07-09T08:01:50.186231Z,EC,2106
2016-07-09T08:01:50.186218Z,PH,4.485
2016-07-09T08:01:50.186203Z,ORP,303.5
2016-07-09T08:01:50.186174Z,DO,9.48
2016-07-09T08:01:50.186070Z,Temp,32.57
2016-07-09T08:01:32.890656Z,EC,2107
2016-07-09T08:01:32.890644Z,PH,4.489
2016-07-09T08:01:32.890630Z,ORP,303.5
2016-07-09T08:01:32.890609Z,DO,9.48
2016-07-09T08:01:32.890568Z,Temp,32.33
2016-07-09T08:01:06.305487Z,GRV,1.001
2016-07-09T08:01:06.305475Z,Sal,1.07
2016-07-09T08:01:06.305462Z,TDS,1137
2016-07-09T08:01:06.305450Z,EC,2107
2016-07-09T08:01:06.305437Z,PH,4.489
2016-07-09T08:01:06.305424Z,ORP,303.5
2016-07-09T08:01:06.305404Z,DO,9.50
2016-07-09T08:01:06.305341Z,Temp,32.33
2016-07-09T08:00:48.814142Z,EC,2109
2016-07-09T08:00:48.814129Z,PH,4.492
2016-07-09T08:00:48.814113Z,ORP,303.5
2016-07-09T08:00:48.814095Z,DO,9.50
2016-07-09T08:00:48.814058Z,Temp,32.08
2016-07-09T08:00:31.516669Z,GRV,1.001
2016-07-09T08:00:31.516657Z,Sal,1.07
2016-07-09T08:00:31.516645Z,TDS,1139
2016-07-09T08:00:31.516633Z,EC,2109
2016-07-09T08:00:31.516620Z,PH,4.492
2016-07-09T08:00:31.516607Z,ORP,303.8
2016-07-09T08:00:31.516589Z,DO,9.47
2016-07-09T08:00:31.516548Z,Temp,32.33
2016-07-09T08:00:14.105898Z,EC,2109
2016-07-09T08:00:14.105886Z,PH,4.498
2016-07-09T08:00:14.105872Z,ORP,303.8
2016-07-09T08:00:14.105854Z,DO,9.47
2016-07-09T08:00:14.105818Z,Temp,32.33
2016-07-09T08:00:06.135044Z,GRV,1.001
2016-07-09T08:00:06.135031Z,Sal,1.07
2016-07-09T08:00:06.135018Z,TDS,1139
2016-07-09T08:00:06.135003Z,EC,2109
2016-07-09T08:00:06.134961Z,PH,4.498
2016-07-09T08:00:06.134947Z,ORP,304.0
2016-07-09T08:00:06.134929Z,DO,9.47
2016-07-09T08:00:06.134888Z,Temp,32.33
2016-07-09T07:59:39.536562Z,EC,2112
2016-07-09T07:59:39.536549Z,PH,4.494
2016-07-09T07:59:39.536535Z,ORP,304.0
2016-07-09T07:59:39.536517Z,DO,9.47
2016-07-09T07:59:39.536474Z,Temp,32.33
2016-07-09T07:59:31.359933Z,GRV,1.001
2016-07-09T07:59:31.359922Z,Sal,1.07
2016-07-09T07:59:31.359910Z,TDS,1140
2016-07-09T07:59:31.359898Z,EC,2112
2016-07-09T07:59:31.359884Z,PH,4.494
2016-07-09T07:59:31.359871Z,ORP,304.3
2016-07-09T07:59:31.359854Z,DO,9.52
2016-07-09T07:59:31.359816Z,Temp,32.57
2016-07-09T07:59:13.891981Z,EC,2112
2016-07-09T07:59:13.891967Z,PH,4.479
2016-07-09T07:59:13.891948Z,ORP,304.3
2016-07-09T07:59:13.891931Z,DO,9.52
2016-07-09T07:59:13.891886Z,Temp,32.33
2016-07-09T07:58:47.361465Z,GRV,1.001
2016-07-09T07:58:47.361453Z,Sal,1.07
2016-07-09T07:58:47.361441Z,TDS,1140
2016-07-09T07:58:47.361429Z,EC,2112
2016-07-09T07:58:47.361415Z,PH,4.479
2016-07-09T07:58:47.361401Z,ORP,304.6
2016-07-09T07:58:47.361384Z,DO,9.49
2016-07-09T07:58:47.361342Z,Temp,32.57
2016-07-09T07:58:30.129524Z,EC,2114
2016-07-09T07:58:30.129510Z,PH,4.489
2016-07-09T07:58:30.129496Z,ORP,304.6
2016-07-09T07:58:30.129477Z,DO,9.49
2016-07-09T07:58:30.129430Z,Temp,32.33
2016-07-09T07:58:22.121921Z,GRV,1.001
2016-07-09T07:58:22.121909Z,Sal,1.07
2016-07-09T07:58:22.121896Z,TDS,1141
2016-07-09T07:58:22.121884Z,EC,2114
2016-07-09T07:58:22.121871Z,PH,4.489
2016-07-09T07:58:22.121858Z,ORP,304.9
2016-07-09T07:58:22.121839Z,DO,9.49
2016-07-09T07:58:22.121800Z,Temp,32.57
2016-07-09T07:58:04.811438Z,EC,2115
2016-07-09T07:58:04.811426Z,PH,4.488
2016-07-09T07:58:04.811413Z,ORP,304.9
2016-07-09T07:58:04.811394Z,DO,9.49
2016-07-09T07:58:04.811356Z,Temp,32.57
2016-07-09T07:57:47.435740Z,GRV,1.001
2016-07-09T07:57:47.435724Z,Sal,1.07
2016-07-09T07:57:47.435713Z,TDS,1142
2016-07-09T07:57:47.435702Z,EC,2115
2016-07-09T07:57:47.435678Z,PH,4.488
2016-07-09T07:57:47.435665Z,ORP,305.3
2016-07-09T07:57:47.435639Z,DO,9.45
2016-07-09T07:57:47.435593Z,Temp,32.57
2016-07-09T07:57:20.788452Z,EC,2116
2016-07-09T07:57:20.788439Z,PH,4.491
2016-07-09T07:57:20.788426Z,ORP,305.3
2016-07-09T07:57:20.788408Z,DO,9.45
2016-07-09T07:57:20.788364Z,Temp,32.57
2016-07-09T07:57:12.613923Z,GRV,1.001
2016-07-09T07:57:12.613911Z,Sal,1.07
2016-07-09T07:57:12.613898Z,TDS,1142
2016-07-09T07:57:12.613884Z,EC,2116
2016-07-09T07:57:12.613871Z,PH,4.491
2016-07-09T07:57:12.613857Z,ORP,305.4
2016-07-09T07:57:12.613839Z,DO,9.42
2016-07-09T07:57:12.613804Z,Temp,32.57
2016-07-09T07:56:45.879790Z,EC,2118
2016-07-09T07:56:45.879777Z,PH,4.491
2016-07-09T07:56:45.879763Z,ORP,305.4
2016-07-09T07:56:45.879740Z,DO,9.42
2016-07-09T07:56:45.879664Z,Temp,32.57
2016-07-09T07:56:37.905722Z,GRV,1.001
2016-07-09T07:56:37.905710Z,Sal,1.08
2016-07-09T07:56:37.905699Z,TDS,1143
2016-07-09T07:56:37.905686Z,EC,2118
2016-07-09T07:56:37.905673Z,PH,4.491
2016-07-09T07:56:37.905660Z,ORP,305.8
2016-07-09T07:56:37.905642Z,DO,9.46
2016-07-09T07:56:37.905605Z,Temp,32.57
2016-07-09T07:56:11.357777Z,EC,2119
2016-07-09T07:56:11.357763Z,PH,4.483
2016-07-09T07:56:11.357749Z,ORP,305.8
2016-07-09T07:56:11.357731Z,DO,9.46
2016-07-09T07:56:11.357684Z,Temp,32.82
2016-07-09T07:56:03.525656Z,GRV,1.001
2016-07-09T07:56:03.525645Z,Sal,1.08
2016-07-09T07:56:03.525634Z,TDS,1144
2016-07-09T07:56:03.525623Z,EC,2119
2016-07-09T07:56:03.525611Z,PH,4.483
2016-07-09T07:56:03.525598Z,ORP,306.2
2016-07-09T07:56:03.525582Z,DO,9.41
2016-07-09T07:56:03.525549Z,Temp,32.82
2016-07-09T07:55:36.759854Z,EC,2120
2016-07-09T07:55:36.759842Z,PH,4.475
2016-07-09T07:55:36.759827Z,ORP,306.2
2016-07-09T07:55:36.759808Z,DO,9.41
2016-07-09T07:55:36.759762Z,Temp,32.82
2016-07-09T07:55:19.491317Z,GRV,1.001
2016-07-09T07:55:19.491305Z,Sal,1.08
2016-07-09T07:55:19.491292Z,TDS,1145
2016-07-09T07:55:19.491280Z,EC,2120
2016-07-09T07:55:19.491267Z,PH,4.475
2016-07-09T07:55:19.491248Z,ORP,306.6
2016-07-09T07:55:19.491229Z,DO,9.38
2016-07-09T07:55:19.491170Z,Temp,32.82
2016-07-09T07:55:11.528114Z,EC,2120
2016-07-09T07:55:11.528102Z,PH,4.472
2016-07-09T07:55:11.528089Z,ORP,306.6
2016-07-09T07:55:11.528071Z,DO,9.38
2016-07-09T07:55:11.528028Z,Temp,32.82
2016-07-09T07:54:44.807740Z,GRV,1.001
2016-07-09T07:54:44.807729Z,Sal,1.08
2016-07-09T07:54:44.807717Z,TDS,1144
2016-07-09T07:54:44.807705Z,EC,2120
2016-07-09T07:54:44.807692Z,PH,4.472
2016-07-09T07:54:44.807679Z,ORP,306.9
2016-07-09T07:54:44.807663Z,DO,9.43
2016-07-09T07:54:44.807628Z,Temp,33.31
2016-07-09T07:54:27.654215Z,EC,2124
2016-07-09T07:54:27.654202Z,PH,4.484
2016-07-09T07:54:27.654188Z,ORP,306.9
2016-07-09T07:54:27.654171Z,DO,9.43
2016-07-09T07:54:27.654131Z,Temp,32.82
2016-07-09T07:54:19.805745Z,GRV,1.001
2016-07-09T07:54:19.805734Z,Sal,1.08
2016-07-09T07:54:19.805722Z,TDS,1147
2016-07-09T07:54:19.805710Z,EC,2124
2016-07-09T07:54:19.805698Z,PH,4.484
2016-07-09T07:54:19.805685Z,ORP,307.3
2016-07-09T07:54:19.805669Z,DO,9.47
2016-07-09T07:54:19.805629Z,Temp,32.82
2016-07-09T07:54:02.471732Z,EC,2126
2016-07-09T07:54:02.471719Z,PH,4.470
2016-07-09T07:54:02.471706Z,ORP,307.3
2016-07-09T07:54:02.471688Z,DO,9.47
2016-07-09T07:54:02.471649Z,Temp,32.82
2016-07-09T07:53:35.821216Z,GRV,1.001
2016-07-09T07:53:35.821204Z,Sal,1.08
2016-07-09T07:53:35.821191Z,TDS,1148
2016-07-09T07:53:35.821175Z,EC,2126
2016-07-09T07:53:35.821162Z,PH,4.470
2016-07-09T07:53:35.821149Z,ORP,307.7
2016-07-09T07:53:35.821133Z,DO,9.41
2016-07-09T07:53:35.821095Z,Temp,32.82
2016-07-09T07:53:18.509609Z,EC,2127
2016-07-09T07:53:18.509596Z,PH,4.479
2016-07-09T07:53:18.509582Z,ORP,307.7
2016-07-09T07:53:18.509566Z,DO,9.41
