2017-04-02T05:04:29.249277Z,MapLocation,"3.036508,101.6988646"
2017-04-02T04:59:54.187788Z,MapLocation,"3.036508,101.6988646"
2017-04-02T04:59:54.187782Z,GRV,1.001
2017-04-02T04:59:54.187775Z,Sal,1.47
2017-04-02T04:59:54.187768Z,TDS,1541
2017-04-02T04:59:54.187756Z,Temp,31.59
2017-04-02T04:59:54.187749Z,EC,2854
2017-04-02T04:59:54.187741Z,PH,6.057
2017-04-02T04:59:54.187731Z,ORP,
2017-04-02T04:59:54.187703Z,DO,8.84
2017-04-02T04:59:42.223207Z,MapLocation,"3.036508,101.6988646"
2017-04-02T04:59:42.223200Z,GRV,1.001
2017-04-02T04:59:42.223192Z,Sal,1.48
2017-04-02T04:59:42.223176Z,Temp,31.34
2017-04-02T04:59:42.223184Z,TDS,1543
2017-04-02T04:59:42.223167Z,EC,2857
2017-04-02T04:59:42.223155Z,PH,6.059
2017-04-02T04:59:42.223121Z,ORP,
2017-04-02T04:59:42.223091Z,DO,8.84
2017-04-02T04:59:30.246016Z,MapLocation,"3.036508,101.6988646"
2017-04-02T04:59:30.246010Z,GRV,1.001
2017-04-02T04:59:30.246003Z,Sal,1.48
2017-04-02T04:59:30.245989Z,Temp,31.59
2017-04-02T04:59:30.245996Z,TDS,1542
2017-04-02T04:59:30.245981Z,EC,2857
2017-04-02T04:59:30.245974Z,PH,6.064
2017-04-02T04:59:30.245963Z,ORP,
2017-04-02T04:59:30.245935Z,DO,8.86
2017-04-02T04:59:18.239016Z,MapLocation,"3.036508,101.6988646"
2017-04-02T04:59:18.239009Z,GRV,1.001
2017-04-02T04:59:18.238994Z,TDS,1542
2017-04-02T04:59:18.239001Z,Sal,1.48
2017-04-02T04:59:18.238977Z,EC,2856
2017-04-02T04:59:18.238986Z,Temp,31.59
2017-04-02T04:59:18.238969Z,PH,6.060
2017-04-02T04:59:18.238958Z,ORP,
2017-04-02T04:59:18.238931Z,DO,8.87
2017-04-02T04:59:06.291072Z,MapLocation,"3.036508,101.6988646"
2017-04-02T04:59:06.291064Z,GRV,1.001
2017-04-02T04:59:06.291057Z,Sal,1.48
2017-04-02T04:59:06.291048Z,TDS,1542
2017-04-02T04:59:06.291041Z,Temp,31.34
2017-04-02T04:59:06.291031Z,EC,2857
2017-04-02T04:59:06.291022Z,PH,6.063
2017-04-02T04:59:06.291011Z,ORP,
2017-04-02T04:59:06.290984Z,DO,8.84
2017-04-02T04:58:53.256308Z,GRV,1.001
2017-04-02T04:58:53.256315Z,MapLocation,"3.036508,101.6988646"
2017-04-02T04:58:53.256300Z,Sal,1.48
2017-04-02T04:58:53.256292Z,TDS,1542
2017-04-02T04:58:53.256284Z,Temp,31.59
2017-04-02T04:58:53.256276Z,EC,2857
2017-04-02T04:58:53.256265Z,PH,6.061
2017-04-02T04:58:53.256253Z,ORP,
2017-04-02T04:58:53.256222Z,DO,8.80
2017-04-02T04:58:42.426240Z,MapLocation,"3.036508,101.6988646"
2017-04-02T04:58:42.426224Z,Sal,1.47
2017-04-02T04:58:42.426232Z,GRV,1.001
2017-04-02T04:58:42.426215Z,TDS,1542
2017-04-02T04:58:42.426199Z,EC,2855
2017-04-02T04:58:42.426208Z,Temp,31.59
2017-04-02T04:58:42.426188Z,PH,6.064
2017-04-02T04:58:42.426174Z,ORP,
2017-04-02T04:58:42.426141Z,DO,8.82
2017-04-02T04:58:30.414846Z,MapLocation,"3.036508,101.6988646"
2017-04-02T04:58:30.414839Z,GRV,1.001
2017-04-02T04:58:30.414831Z,Sal,1.48
2017-04-02T04:58:30.414824Z,TDS,1543
2017-04-02T04:58:30.414808Z,EC,2857
2017-04-02T04:58:30.414816Z,Temp,31.59
2017-04-02T04:58:30.414799Z,PH,6.070
2017-04-02T04:58:30.414787Z,ORP,
2017-04-02T04:58:30.414758Z,DO,8.77
2017-04-02T04:58:18.449224Z,MapLocation,"3.036508,101.6988646"
2017-04-02T04:58:18.449211Z,Sal,1.48
2017-04-02T04:58:18.449217Z,GRV,1.001
2017-04-02T04:58:18.449205Z,TDS,1542
2017-04-02T04:58:18.449198Z,Temp,31.59
2017-04-02T04:58:18.449190Z,EC,2857
2017-04-02T04:58:18.449179Z,PH,6.060
2017-04-02T04:58:18.449169Z,ORP,
2017-04-02T04:58:18.449140Z,DO,8.76
2017-04-02T04:58:06.487487Z,MapLocation,"3.036508,101.6988646"
2017-04-02T04:58:06.487471Z,Sal,1.47
2017-04-02T04:58:06.487480Z,GRV,1.001
2017-04-02T04:58:06.487464Z,TDS,1540
2017-04-02T04:58:06.487449Z,EC,2852
2017-04-02T04:58:06.487457Z,Temp,31.59
2017-04-02T04:58:06.487440Z,PH,6.068
2017-04-02T04:58:06.487429Z,ORP,
2017-04-02T04:58:06.487399Z,DO,8.81
2017-04-02T04:57:54.527484Z,MapLocation,"3.036508,101.6988646"
2017-04-02T04:57:54.527475Z,GRV,1.001
2017-04-02T04:57:54.527459Z,Sal,1.48
2017-04-02T04:57:54.527432Z,TDS,1542
2017-04-02T04:57:54.527384Z,Temp,31.59
2017-04-02T04:57:54.527377Z,EC,2857
2017-04-02T04:57:54.527368Z,PH,6.062
2017-04-02T04:57:54.527357Z,ORP,
2017-04-02T04:57:54.527328Z,DO,8.80
2017-04-02T04:57:42.566795Z,MapLocation,"3.036508,101.6988646"
2017-04-02T04:57:42.566682Z,GRV,1.001
2017-04-02T04:57:42.566666Z,TDS,1543
2017-04-02T04:57:42.566674Z,Sal,1.48
2017-04-02T04:57:42.566659Z,Temp,31.59
2017-04-02T04:57:42.566650Z,EC,2857
2017-04-02T04:57:42.566641Z,PH,6.067
2017-04-02T04:57:42.566628Z,ORP,
2017-04-02T04:57:42.566598Z,DO,8.73
2017-04-02T04:57:29.412962Z,MapLocation,"3.036508,101.6988646"
2017-04-02T04:57:29.412954Z,GRV,1.001
2017-04-02T04:57:29.412945Z,Sal,1.48
2017-04-02T04:57:29.412937Z,TDS,1542
2017-04-02T04:57:29.412928Z,Temp,31.59
2017-04-02T04:57:29.412910Z,PH,6.065
2017-04-02T04:57:29.412919Z,EC,2856
2017-04-02T04:57:29.412896Z,ORP,
2017-04-02T04:57:29.412863Z,DO,8.75
2017-04-02T04:57:17.326656Z,MapLocation,"3.036508,101.6988646"
2017-04-02T04:57:17.326607Z,Sal,1.48
2017-04-02T04:57:17.326644Z,GRV,1.001
2017-04-02T04:57:17.326597Z,TDS,1543
2017-04-02T04:57:17.326588Z,Temp,31.83
2017-04-02T04:57:17.326578Z,EC,2857
2017-04-02T04:57:17.326567Z,PH,6.059
2017-04-02T04:57:17.326552Z,ORP,
2017-04-02T04:57:17.326516Z,DO,8.89
2017-04-02T04:57:06.479615Z,MapLocation,"3.036508,101.6988646"
2017-04-02T04:57:06.479607Z,GRV,1.001
2017-04-02T04:57:06.479599Z,Sal,1.48
2017-04-02T04:57:06.479591Z,TDS,1543
2017-04-02T04:57:06.479582Z,Temp,31.34
2017-04-02T04:57:06.479574Z,EC,2857
2017-04-02T04:57:06.479565Z,PH,6.063
2017-04-02T04:57:06.479553Z,ORP,
2017-04-02T04:57:06.479522Z,DO,8.92
2017-04-02T04:56:54.538603Z,MapLocation,"3.036508,101.6988646"
2017-04-02T04:56:54.538595Z,GRV,1.001
2017-04-02T04:56:54.538578Z,TDS,1540
2017-04-02T04:56:54.538586Z,Sal,1.47
2017-04-02T04:56:54.538569Z,Temp,31.34
2017-04-02T04:56:54.538560Z,EC,2853
